playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8477507,2020,Nikita Zadorov,CHI,D,other,27,629.0,12.0,3.25,0.3,0.7,0.5,0.6,0.2,0.6,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,6.0,0.0,0.0,906.0,0.0,0.0,0.0,0.0,0.74,0.03,0.03,0.03,0.03,1.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.01,0.0,0.0,0.04,0.04,0.04,2.62,0.08,0.08,0.08,0.08,2.0,2.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.03,0.0,0.0,0.11,0.11,0.11,5.3,2.33,37.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
8477507,2020,Nikita Zadorov,CHI,D,all,27,30978.0,617.0,5.69,0.42,0.5,0.43,0.49,0.43,0.47,97.0,28.41,0.98,1.48,7.09,0.89,16.43,14.14,0.96,1.0,0.98,1.0,4.0,30.0,11.0,26.0,67.0,6.0,1.0,2.0,0.0,8.0,3.0,11.0,16.0,29.0,40.0,6.0,15.0,0.0,91.0,5.0,24.0,40.0,1.0,0.0,0.87,0.1,0.0,1.0,0.0,0.0,68.5,41.0,41.34,19.0,0.29,0.28,0.03,1.24,1.26,1.24,617.0,47.0,77.0,99.0,394.0,82.0,81.0,78.0,376.0,0.0,1.0,68637.0,15.0,11.0,4.0,38.0,201.44,16.26,15.83,16.27,15.83,213.0,68.0,102.0,383.0,18.0,11.0,5.0,219.0,50.0,12.0,5.98,5.93,4.36,6.0,8.0,4.0,384.12,281.0,281.53,2.61,3.1,3.1,15.78,15.77,15.54,260.27,22.09,20.97,22.06,20.96,276.0,92.0,136.0,504.0,21.0,23.0,4.0,280.0,72.0,16.0,7.43,8.84,5.81,7.0,9.0,5.0,505.78,368.0,368.57,3.95,5.52,5.52,20.45,20.48,20.0,52.27,51.3,1015.0,1073.0,0.0,0.0,0.0,0.0,0.0,0.0
8477507,2020,Nikita Zadorov,CHI,D,5on5,27,26975.0,535.0,5.69,0.47,0.47,0.47,0.47,0.47,0.45,94.0,27.74,0.97,1.46,6.99,0.87,16.19,13.53,0.95,0.98,0.97,1.0,3.0,29.0,11.0,25.0,65.0,5.0,1.0,2.0,0.0,8.0,3.0,11.0,15.0,28.0,39.0,6.0,15.0,0.0,83.0,3.0,22.0,39.0,1.0,0.0,0.86,0.1,0.0,1.0,0.0,0.0,66.5,40.0,40.34,17.0,0.28,0.28,0.03,1.23,1.25,1.22,535.0,41.0,63.0,96.0,335.0,77.0,68.0,65.0,325.0,0.0,1.0,55186.0,15.0,11.0,4.0,31.0,189.33,14.55,14.13,14.56,14.13,198.0,67.0,97.0,362.0,17.0,10.0,4.0,207.0,49.0,9.0,5.76,5.83,2.96,6.0,8.0,3.0,363.12,265.0,265.53,2.44,2.31,2.31,14.69,14.68,14.45,208.76,16.14,15.33,16.11,15.31,218.0,76.0,110.0,404.0,15.0,16.0,2.0,228.0,55.0,11.0,6.05,6.84,3.26,5.0,8.0,2.0,405.78,294.0,294.57,2.86,2.93,3.25,15.75,15.78,15.56,29.37,33.41,744.0,842.0,0.66,0.11,30.0,5.0,19.0,4.0
8477507,2020,Nikita Zadorov,CHI,D,4on5,27,3085.0,62.0,4.62,0.09,0.13,0.08,0.15,0.1,0.16,83.0,0.67,0.01,0.02,0.1,0.02,0.24,0.6,0.01,0.01,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.01,0.0,0.0,0.02,0.02,0.02,62.0,0.0,12.0,1.0,49.0,4.0,10.0,7.0,41.0,0.0,0.0,4711.0,0.0,0.0,0.0,1.0,5.27,0.54,0.54,0.54,0.54,7.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,1.0,1.0,0.11,0.1,0.34,0.0,0.0,0.0,7.0,7.0,7.0,0.05,0.0,0.0,0.59,0.59,0.59,45.68,5.75,5.45,5.75,5.45,52.0,12.0,22.0,86.0,6.0,7.0,2.0,42.0,17.0,5.0,1.19,2.0,2.56,2.0,1.0,3.0,86.0,64.0,64.0,0.98,2.59,2.27,4.46,4.46,4.19,1.42,9.46,23.0,133.0,0.07,0.0,1.0,0.0,1.0,0.0
8477507,2020,Nikita Zadorov,CHI,D,5on4,27,289.0,8.0,0.48,0.99,0.78,0.7,0.88,0.86,0.84,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,6.0,0.0,1.0,3.0,4.0,0.0,0.0,1286.0,0.0,0.0,0.0,2.0,4.52,0.84,0.83,0.84,0.83,5.0,1.0,1.0,7.0,1.0,1.0,1.0,5.0,0.0,1.0,0.05,0.0,0.79,0.0,0.0,1.0,7.0,6.0,6.0,0.07,0.79,0.79,0.13,0.13,0.13,0.7,0.01,0.01,0.01,0.01,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.01,0.0,0.0,0.02,0.02,0.02,1.96,0.57,35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8478874,2020,Adam Gaudette,VAN,C,other,25,519.0,15.0,2.88,0.09,0.52,0.43,0.61,0.42,0.59,59.0,1.41,0.06,0.1,0.27,0.06,1.15,0.36,0.05,0.06,0.05,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.06,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.03,0.0,0.0,0.09,0.09,0.08,15.0,2.0,1.0,1.0,11.0,3.0,3.0,2.0,7.0,1.0,0.0,2369.0,0.0,0.0,0.0,0.0,3.76,0.26,0.24,0.26,0.24,2.0,3.0,1.0,6.0,1.0,0.0,0.0,4.0,1.0,0.0,0.1,0.16,0.0,1.0,0.0,0.0,6.0,5.0,5.0,0.1,0.0,0.0,0.35,0.35,0.34,5.03,2.55,2.47,2.55,2.47,5.0,2.0,1.0,8.0,1.0,0.0,0.0,2.0,2.0,3.0,0.1,0.23,2.22,0.0,0.0,1.0,8.0,7.0,7.0,0.09,0.0,0.0,2.64,2.64,2.55,2.9,2.73,36.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
8478874,2020,Adam Gaudette,VAN,C,all,25,16454.0,449.0,6.54,0.44,0.47,0.52,0.49,0.51,0.49,242.0,47.52,5.43,3.53,9.75,1.68,27.51,19.11,5.26,5.41,5.25,1.0,2.0,50.0,17.0,10.0,77.0,6.0,3.0,3.0,0.0,10.0,2.0,23.0,26.0,47.0,64.0,5.0,10.0,28.0,9.0,4.0,4.0,35.0,29.0,3.0,1.24,3.3,0.89,1.0,2.0,0.0,77.32,67.0,67.04,2.0,0.76,0.31,0.83,5.35,5.35,5.25,449.0,71.0,32.0,58.0,288.0,82.0,82.0,54.0,231.0,28.0,34.0,74196.0,10.0,6.0,3.0,12.0,143.29,11.97,11.58,11.92,11.54,148.0,55.0,71.0,274.0,9.0,8.0,1.0,149.0,44.0,10.0,3.8,5.16,3.01,4.0,3.0,2.0,273.12,203.0,202.2,2.09,1.54,1.54,12.53,12.49,12.14,139.78,15.15,14.66,15.36,14.84,149.0,45.0,63.0,257.0,14.0,12.0,2.0,138.0,38.0,18.0,3.88,4.89,6.38,1.0,7.0,6.0,259.87,194.0,195.96,1.94,3.16,3.16,13.92,14.05,13.88,58.77,66.55,1122.0,1172.0,0.0,0.0,0.0,0.0,0.0,0.0
8478874,2020,Adam Gaudette,VAN,C,5on5,25,14162.0,387.0,6.54,0.44,0.48,0.49,0.48,0.49,0.49,239.0,40.86,4.97,2.96,8.57,1.44,23.15,16.91,4.86,4.95,4.84,0.0,1.0,44.0,14.0,9.0,67.0,3.0,2.0,3.0,0.0,10.0,2.0,20.0,21.0,42.0,56.0,4.0,8.0,16.0,9.0,4.0,3.0,28.0,28.0,2.0,1.12,3.18,0.67,0.0,2.0,0.0,67.32,58.0,58.04,2.0,0.62,0.31,0.62,4.97,4.97,4.89,387.0,52.0,29.0,53.0,253.0,71.0,72.0,44.0,200.0,16.0,23.0,56698.0,8.0,6.0,3.0,12.0,117.52,9.37,9.19,9.33,9.15,123.0,44.0,58.0,225.0,5.0,7.0,1.0,123.0,36.0,8.0,3.2,4.06,2.12,2.0,2.0,1.0,224.12,167.0,166.2,1.54,1.32,1.32,9.6,9.56,9.41,126.06,11.83,11.42,12.04,11.6,134.0,41.0,62.0,237.0,11.0,12.0,2.0,129.0,31.0,15.0,3.58,4.09,4.15,1.0,5.0,5.0,239.87,175.0,176.96,1.73,3.16,3.16,10.4,10.52,10.43,38.76,42.0,828.0,892.0,0.46,1.04,8.0,14.0,7.0,12.0
8478874,2020,Adam Gaudette,VAN,C,4on5,25,1.0,1.0,0.26,0.0,0.0,0.0,0.11,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8478874,2020,Adam Gaudette,VAN,C,5on4,25,1772.0,46.0,7.19,0.77,0.86,0.8,0.92,0.74,0.9,140.0,5.25,0.4,0.47,0.91,0.18,3.2,1.84,0.35,0.4,0.35,1.0,1.0,5.0,2.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,7.0,1.0,2.0,11.0,0.0,0.0,1.0,5.0,1.0,1.0,0.06,0.12,0.22,0.0,0.0,0.0,8.0,7.0,7.0,0.0,0.11,0.0,0.22,0.29,0.29,0.28,46.0,17.0,2.0,3.0,24.0,8.0,7.0,7.0,24.0,11.0,0.0,5592.0,2.0,0.0,0.0,0.0,22.01,2.34,2.15,2.34,2.15,23.0,8.0,12.0,43.0,3.0,1.0,0.0,22.0,7.0,2.0,0.5,0.95,0.89,1.0,1.0,1.0,43.0,31.0,31.0,0.45,0.22,0.22,2.58,2.58,2.4,7.92,0.68,0.68,0.68,0.68,9.0,2.0,0.0,11.0,2.0,0.0,0.0,7.0,4.0,0.0,0.2,0.48,0.0,0.0,2.0,0.0,11.0,11.0,11.0,0.1,0.0,0.0,0.78,0.78,0.78,9.64,1.57,176.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2020,Ilya Lyubushkin,ARI,D,other,13,142.0,1.0,-0.15,0.56,0.33,0.5,0.36,0.5,0.35,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,638.0,0.0,0.0,0.0,0.0,0.65,0.06,0.06,0.06,0.06,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.01,0.0,0.0,0.08,0.08,0.08,0.65,0.05,0.05,0.05,0.05,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02,0.0,0.0,0.07,0.07,0.07,1.69,3.38,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2020,Ilya Lyubushkin,ARI,D,all,13,10982.0,256.0,-0.38,0.42,0.46,0.45,0.45,0.43,0.44,76.0,8.77,0.2,0.45,2.06,0.29,5.48,4.53,0.19,0.19,0.19,0.0,0.0,7.0,6.0,6.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,7.0,7.0,13.0,1.0,2.0,0.0,33.0,3.0,5.0,13.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,18.65,13.0,12.8,1.0,0.09,0.0,0.0,0.28,0.28,0.27,256.0,22.0,18.0,48.0,168.0,35.0,37.0,30.0,154.0,0.0,0.0,36527.0,2.0,4.0,2.0,21.0,71.0,4.77,4.69,4.69,4.61,70.0,29.0,39.0,138.0,6.0,1.0,0.0,82.0,14.0,3.0,2.26,1.59,0.91,3.0,3.0,0.0,134.62,99.0,96.63,0.95,0.42,0.42,5.3,5.23,5.15,92.42,6.51,6.32,6.76,6.56,103.0,26.0,42.0,171.0,11.0,6.0,1.0,108.0,15.0,6.0,3.3,1.69,1.52,7.0,3.0,1.0,178.44,129.0,134.0,1.23,1.23,1.23,6.51,6.77,6.6,28.2,33.12,493.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2020,Ilya Lyubushkin,ARI,D,5on5,13,10780.0,250.0,-0.38,0.43,0.53,0.45,0.47,0.44,0.47,70.0,8.77,0.2,0.45,2.06,0.29,5.48,4.53,0.19,0.19,0.19,0.0,0.0,7.0,6.0,6.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,7.0,7.0,13.0,1.0,2.0,0.0,33.0,3.0,5.0,13.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,18.65,13.0,12.8,1.0,0.09,0.0,0.0,0.28,0.28,0.27,250.0,22.0,17.0,48.0,163.0,33.0,36.0,30.0,151.0,0.0,0.0,26960.0,2.0,4.0,2.0,21.0,70.35,4.71,4.63,4.62,4.55,69.0,29.0,38.0,136.0,6.0,1.0,0.0,81.0,14.0,3.0,2.2,1.59,0.91,3.0,3.0,0.0,132.62,98.0,95.63,0.93,0.42,0.42,5.22,5.15,5.08,90.14,6.25,6.06,6.5,6.31,100.0,26.0,40.0,166.0,10.0,6.0,1.0,106.0,15.0,5.0,3.24,1.69,1.31,6.0,3.0,1.0,173.44,126.0,131.0,1.18,1.23,1.23,6.21,6.47,6.3,17.08,15.32,360.0,411.0,0.58,0.03,11.0,4.0,9.0,2.0
8480950,2020,Ilya Lyubushkin,ARI,D,4on5,13,60.0,5.0,-0.13,0.0,0.01,0.0,0.07,0.0,0.08,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,1565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.21,0.2,0.21,0.2,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.01,0.0,0.2,0.0,0.0,0.0,3.0,2.0,2.0,0.03,0.0,0.0,0.24,0.24,0.23,0.04,3.52,5.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2020,Ilya Lyubushkin,ARI,D,5on4,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8470144,2020,Frans Nielsen,DET,C,other,21,404.0,8.0,0.04,0.25,0.42,0.4,0.57,0.5,0.56,68.0,0.88,0.12,0.08,0.13,0.02,0.38,0.27,0.12,0.12,0.12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.02,0.0,0.0,0.14,0.14,0.14,8.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,2.0,0.0,1318.0,0.0,2.0,1.0,0.0,2.25,0.18,0.18,0.18,0.18,2.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.05,0.12,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.04,0.0,0.0,0.22,0.22,0.22,2.1,0.52,0.48,0.52,0.48,2.0,1.0,3.0,6.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.23,0.29,0.0,0.0,0.0,6.0,3.0,3.0,0.07,0.29,0.29,0.3,0.3,0.29,2.76,3.82,30.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
8470144,2020,Frans Nielsen,DET,C,all,21,15810.0,369.0,3.49,0.35,0.47,0.4,0.51,0.42,0.51,201.0,19.33,1.8,1.35,4.04,0.61,10.23,7.97,1.73,1.83,1.75,2.0,2.0,18.0,8.0,3.0,29.0,5.0,1.0,2.0,0.0,3.0,1.0,8.0,11.0,17.0,25.0,0.0,0.0,17.0,20.0,7.0,4.0,18.0,6.0,2.0,0.6,0.75,0.45,0.0,1.0,0.0,28.89,26.0,26.01,2.0,0.28,0.64,0.34,1.74,1.76,1.75,369.0,40.0,57.0,48.0,224.0,37.0,51.0,49.0,232.0,17.0,8.0,60345.0,0.0,6.0,3.0,9.0,97.47,7.18,6.79,7.26,6.83,109.0,25.0,32.0,166.0,8.0,6.0,1.0,108.0,21.0,5.0,2.84,2.93,1.41,4.0,3.0,1.0,163.68,134.0,133.12,1.22,1.46,1.46,6.94,6.91,6.84,134.51,13.32,12.94,13.45,13.07,136.0,50.0,61.0,247.0,14.0,15.0,3.0,147.0,21.0,18.0,4.02,2.57,6.74,3.0,4.0,7.0,250.49,186.0,187.82,2.1,4.97,4.97,10.45,10.57,10.43,37.26,41.64,860.0,842.0,0.0,0.0,0.0,0.0,0.0,0.0
8470144,2020,Frans Nielsen,DET,C,5on5,21,13467.0,303.0,3.49,0.47,0.49,0.44,0.49,0.47,0.49,192.0,17.81,1.67,1.25,3.81,0.58,9.64,7.05,1.6,1.7,1.62,2.0,2.0,17.0,7.0,2.0,26.0,5.0,1.0,2.0,0.0,3.0,1.0,7.0,10.0,16.0,23.0,0.0,0.0,14.0,20.0,5.0,4.0,17.0,5.0,2.0,0.59,0.63,0.45,0.0,1.0,0.0,25.89,24.0,24.01,2.0,0.26,0.64,0.34,1.58,1.61,1.59,303.0,35.0,34.0,41.0,193.0,34.0,39.0,41.0,189.0,14.0,8.0,49201.0,0.0,4.0,2.0,8.0,92.5,6.96,6.57,7.04,6.61,103.0,24.0,30.0,157.0,8.0,6.0,1.0,102.0,20.0,5.0,2.74,2.81,1.41,4.0,3.0,1.0,154.68,127.0,126.12,1.15,1.46,1.46,6.65,6.62,6.55,103.43,7.94,7.82,8.07,7.94,101.0,43.0,52.0,196.0,9.0,7.0,0.0,117.0,17.0,10.0,3.22,2.13,2.59,3.0,4.0,2.0,199.49,144.0,145.82,1.37,1.12,1.46,7.85,7.97,7.9,25.6,26.75,675.0,695.0,0.61,0.16,14.0,9.0,13.0,7.0
8470144,2020,Frans Nielsen,DET,C,4on5,21,1768.0,49.0,3.13,0.01,0.03,0.09,0.08,0.07,0.1,57.0,0.64,0.01,0.02,0.1,0.01,0.21,0.65,0.01,0.01,0.01,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,49.0,2.0,22.0,4.0,21.0,0.0,11.0,7.0,31.0,1.0,0.0,2741.0,0.0,0.0,0.0,0.0,2.06,0.04,0.04,0.04,0.04,3.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.02,0.0,0.0,0.06,0.06,0.06,27.42,4.77,4.57,4.77,4.57,31.0,6.0,6.0,43.0,5.0,7.0,3.0,28.0,2.0,7.0,0.71,0.2,3.86,0.0,0.0,5.0,43.0,37.0,37.0,0.59,3.56,3.22,2.14,2.14,2.09,0.15,5.5,6.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
